Identifier,DES-0.1ug/L-B
ENSDARG00000063270,1
ENSDARG00000018008,0
ENSDARG00000074031,1
ENSDARG00000043247,9
ENSDARG00000113848,0
ENSDARG00000063253,2
ENSDARG00000073857,5
ENSDARG00000107682,0
ENSDARG00000070558,3
ENSDARG00000025754,11
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,0
ENSDARG00000013741,1
ENSDARG00000017441,3237
ENSDARG00000037713,13
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,1
ENSDARG00000018319,8
ENSDARG00000098730,6
ENSDARG00000096630,0
ENSDARG00000117359,1
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,13
ENSDARG00000103767,0
ENSDARG00000075791,1
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,3
ENSDARG00000074212,0
ENSDARG00000062929,6
ENSDARG00000022668,1
ENSDARG00000099708,0
ENSDARG00000025034,7
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,2
ENSDARG00000015803,2
ENSDARG00000037739,2
ENSDARG00000076176,6
ENSDARG00000096526,0
ENSDARG00000113858,0
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,1
ENSDARG00000007443,4
ENSDARG00000037746,655
ENSDARG00000037747,2
ENSDARG00000079361,2
ENSDARG00000012458,48
ENSDARG00000070543,3
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,3
ENSDARG00000094206,9
ENSDARG00000037758,0
ENSDARG00000008723,0
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,2
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,93
ENSDARG00000076716,0
ENSDARG00000058464,0
ENSDARG00000058471,5
ENSDARG00000096584,1
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,3
ENSDARG00000024740,19
ENSDARG00000101597,2
ENSDARG00000058445,14
ENSDARG00000063169,1
ENSDARG00000092791,0
ENSDARG00000037760,5
ENSDARG00000117314,1
ENSDARG00000017834,2
ENSDARG00000074282,1
ENSDARG00000074372,0
ENSDARG00000104203,0
ENSDARG00000101495,13
ENSDARG00000091916,34
ENSDARG00000099276,20
ENSDARG00000104995,7
ENSDARG00000033852,5
ENSDARG00000037654,16
ENSDARG00000037652,2
ENSDARG00000037646,3
ENSDARG00000032795,1
ENSDARG00000018263,69
ENSDARG00000077542,1
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,3
ENSDARG00000037647,5
ENSDARG00000008969,63
ENSDARG00000020741,31
ENSDARG00000104660,4
ENSDARG00000096594,4
ENSDARG00000077652,8
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,137
ENSDARG00000030563,2
ENSDARG00000026387,3
ENSDARG00000070495,1
ENSDARG00000084766,0
ENSDARG00000034785,2
ENSDARG00000070512,21
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,4
ENSDARG00000076833,123
ENSDARG00000012297,2
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,6
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,2
ENSDARG00000074379,6
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,1
ENSDARG00000074213,0
ENSDARG00000062606,1
ENSDARG00000077198,0
ENSDARG00000007678,14
ENSDARG00000089930,3
ENSDARG00000078057,4
ENSDARG00000070448,12
ENSDARG00000070449,3
ENSDARG00000042988,11
ENSDARG00000096506,0
ENSDARG00000070452,3
ENSDARG00000070454,6
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,93
ENSDARG00000091609,61
ENSDARG00000002634,0
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,1
ENSDARG00000018997,23
ENSDARG00000099771,11
ENSDARG00000045620,23
ENSDARG00000045618,56
ENSDARG00000057248,1
ENSDARG00000017985,29
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,1
ENSDARG00000104707,0
ENSDARG00000102049,1
ENSDARG00000116228,0
ENSDARG00000099729,5
ENSDARG00000105122,6
ENSDARG00000098668,1
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,0
ENSDARG00000089805,3
ENSDARG00000117726,0
ENSDARG00000117541,8
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,16
ENSDARG00000057114,10
ENSDARG00000009026,6
ENSDARG00000085400,0
ENSDARG00000014273,8
ENSDARG00000104795,2
ENSDARG00000056806,1
ENSDARG00000056797,1
ENSDARG00000062341,1
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,11
ENSDARG00000022690,7
ENSDARG00000056677,3
ENSDARG00000012903,21
ENSDARG00000003398,13
ENSDARG00000074867,2
ENSDARG00000109597,2
ENSDARG00000111274,0
ENSDARG00000110922,9
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,9
ENSDARG00000007534,0
ENSDARG00000077804,8
ENSDARG00000013881,6
ENSDARG00000079317,0
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,5
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,6
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,6
ENSDARG00000070412,0
ENSDARG00000034105,10
ENSDARG00000062198,4
ENSDARG00000034817,18
ENSDARG00000056504,17
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,32
ENSDARG00000092708,0
ENSDARG00000017905,20
ENSDARG00000030514,15
ENSDARG00000056400,1
ENSDARG00000042937,1
ENSDARG00000092600,0
ENSDARG00000027355,144
ENSDARG00000092022,3
ENSDARG00000056381,2
ENSDARG00000056376,0
ENSDARG00000056369,13
ENSDARG00000011023,3
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,1
ENSDARG00000062132,35
ENSDARG00000117687,0
ENSDARG00000117295,6
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,8
ENSDARG00000015495,35
ENSDARG00000062081,2
ENSDARG00000018178,6
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,1
ENSDARG00000062055,6
ENSDARG00000074275,4
ENSDARG00000075330,0
ENSDARG00000006392,5
ENSDARG00000073902,1
ENSDARG00000019945,5
ENSDARG00000086957,2
ENSDARG00000056151,339
ENSDARG00000061985,28
ENSDARG00000061981,8
ENSDARG00000003631,2
ENSDARG00000056133,0
ENSDARG00000070321,3
ENSDARG00000017744,11
ENSDARG00000070320,0
ENSDARG00000061952,3
ENSDARG00000061936,0
ENSDARG00000006434,3
ENSDARG00000037484,9
ENSDARG00000094729,0
ENSDARG00000095388,7
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,7
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,75
ENSDARG00000080019,1
ENSDARG00000099995,2
ENSDARG00000070278,3
ENSDARG00000061830,3
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,17
ENSDARG00000093816,0
ENSDARG00000070266,42
ENSDARG00000037429,0
ENSDARG00000055874,47
ENSDARG00000055876,26
ENSDARG00000092321,0
ENSDARG00000061786,1
ENSDARG00000094202,30
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,3
ENSDARG00000037411,1
ENSDARG00000084908,0
ENSDARG00000037410,17
ENSDARG00000037409,3
ENSDARG00000070173,3
ENSDARG00000052782,0
ENSDARG00000037406,3
ENSDARG00000034773,1
ENSDARG00000033273,2
ENSDARG00000055439,2
ENSDARG00000055443,7
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,4
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,0
ENSDARG00000092275,0
ENSDARG00000055559,0
ENSDARG00000114954,0
ENSDARG00000115778,1
ENSDARG00000026871,10
ENSDARG00000016470,29
ENSDARG00000103166,1
ENSDARG00000091660,1
ENSDARG00000038056,17
ENSDARG00000002406,0
ENSDARG00000034007,3
ENSDARG00000061143,7
ENSDARG00000034896,4
ENSDARG00000116099,0
ENSDARG00000037378,5
ENSDARG00000012672,11
ENSDARG00000093064,5
ENSDARG00000061121,7
ENSDARG00000094677,2
ENSDARG00000054799,5
ENSDARG00000116939,0
ENSDARG00000037350,587
ENSDARG00000022845,14
ENSDARG00000019838,41
ENSDARG00000005799,6
ENSDARG00000013505,16
ENSDARG00000055022,11
ENSDARG00000061451,4
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,6
ENSDARG00000055099,6
ENSDARG00000070109,2
ENSDARG00000070098,16
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,17
ENSDARG00000083023,0
ENSDARG00000031108,34
ENSDARG00000015266,35
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,662
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,4
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,5
ENSDARG00000037309,4
ENSDARG00000054334,5
ENSDARG00000116715,0
ENSDARG00000060994,1
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,1
ENSDARG00000079434,14
ENSDARG00000031817,0
ENSDARG00000074812,1
ENSDARG00000070055,12
ENSDARG00000070050,17
ENSDARG00000095408,1
ENSDARG00000037286,0
ENSDARG00000037283,11
ENSDARG00000037281,114
ENSDARG00000037278,2
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,1
ENSDARG00000037276,2
ENSDARG00000013787,4
ENSDARG00000086790,0
ENSDARG00000006427,1463
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,5
ENSDARG00000077157,4
ENSDARG00000037256,2
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,5
ENSDARG00000021702,29
ENSDARG00000054031,18
ENSDARG00000037259,81
ENSDARG00000037260,3
ENSDARG00000037261,20
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,2
ENSDARG00000107180,0
ENSDARG00000076928,8
ENSDARG00000009685,3
ENSDARG00000079377,3
ENSDARG00000091678,3
ENSDARG00000014790,13
ENSDARG00000019581,10
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,3
ENSDARG00000023330,47
ENSDARG00000096667,12
ENSDARG00000037245,0
ENSDARG00000096554,3
ENSDARG00000079266,1
ENSDARG00000023600,13
ENSDARG00000033345,2
ENSDARG00000069989,5
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,9
ENSDARG00000069996,7
ENSDARG00000100083,17
ENSDARG00000031632,0
ENSDARG00000101474,5
ENSDARG00000104710,3
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,14
ENSDARG00000112052,0
ENSDARG00000089334,1
ENSDARG00000053456,5
ENSDARG00000053466,20
ENSDARG00000053463,5
ENSDARG00000037109,13
ENSDARG00000096538,0
ENSDARG00000005739,9
ENSDARG00000053496,10
ENSDARG00000053500,12
ENSDARG00000053502,1
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,2
ENSDARG00000069804,3
ENSDARG00000078546,2
ENSDARG00000037099,8
ENSDARG00000060620,2
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,6
ENSDARG00000095590,0
ENSDARG00000031202,3
ENSDARG00000037144,11
ENSDARG00000037177,28
ENSDARG00000003866,36
ENSDARG00000037178,3
ENSDARG00000028982,23
ENSDARG00000055839,0
ENSDARG00000060477,2
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,4
ENSDARG00000026771,3
ENSDARG00000096632,24
ENSDARG00000099758,21
ENSDARG00000093065,2
ENSDARG00000074302,0
ENSDARG00000003142,3
ENSDARG00000096668,27
ENSDARG00000042688,0
ENSDARG00000060559,4
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,26
ENSDARG00000092278,0
ENSDARG00000019715,8
ENSDARG00000017174,1
ENSDARG00000069946,25
ENSDARG00000074575,17
ENSDARG00000069951,3
ENSDARG00000069953,2
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,1
ENSDARG00000039616,7
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,10
ENSDARG00000039615,0
ENSDARG00000060501,6
ENSDARG00000039613,0
ENSDARG00000029751,0
ENSDARG00000027572,3
ENSDARG00000078733,1
ENSDARG00000058231,10
ENSDARG00000053248,3
ENSDARG00000012896,9
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,1
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,4
ENSDARG00000107292,0
ENSDARG00000079455,7
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,4
ENSDARG00000074815,12
ENSDARG00000033380,0
ENSDARG00000051975,44
ENSDARG00000079280,4
ENSDARG00000053586,8
ENSDARG00000002190,48
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,25
ENSDARG00000012763,6
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,1
ENSDARG00000081597,0
ENSDARG00000032056,14
ENSDARG00000074860,2
ENSDARG00000053542,18
ENSDARG00000094556,0
ENSDARG00000053535,0
ENSDARG00000111052,0
ENSDARG00000015312,5
ENSDARG00000015506,4
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,17
ENSDARG00000069910,12
ENSDARG00000109513,0
ENSDARG00000092693,995
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,1
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,4
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,2
ENSDARG00000037018,10
ENSDARG00000074677,1
ENSDARG00000094485,1
ENSDARG00000060397,11
ENSDARG00000094648,0
ENSDARG00000027199,10
ENSDARG00000115856,1
ENSDARG00000060383,5
ENSDARG00000037002,0
ENSDARG00000076171,13
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,60
ENSDARG00000069737,4
ENSDARG00000095555,0
ENSDARG00000011876,6
ENSDARG00000078789,8
ENSDARG00000036755,0
ENSDARG00000078326,6
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,0
ENSDARG00000102787,13
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,4
ENSDARG00000074989,1
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,2
ENSDARG00000082660,0
ENSDARG00000057303,18
ENSDARG00000113575,0
ENSDARG00000029722,169
ENSDARG00000008305,9
ENSDARG00000117649,0
ENSDARG00000007477,4
ENSDARG00000053106,1
ENSDARG00000012016,18
ENSDARG00000011066,2
ENSDARG00000004621,65
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,4
ENSDARG00000089976,34
ENSDARG00000069640,3
ENSDARG00000104657,1
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,18
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,3
ENSDARG00000085746,0
ENSDARG00000007387,4
ENSDARG00000024828,12
ENSDARG00000070162,10
ENSDARG00000104907,4
ENSDARG00000080987,0
ENSDARG00000079183,2
ENSDARG00000104437,27
ENSDARG00000103145,8
ENSDARG00000069701,0
ENSDARG00000020857,5
ENSDARG00000093120,2
ENSDARG00000074662,1
ENSDARG00000076585,3
ENSDARG00000079631,3
ENSDARG00000018587,1
ENSDARG00000078182,1
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,7
ENSDARG00000031435,250
ENSDARG00000077874,2
ENSDARG00000069710,0
ENSDARG00000079552,3
ENSDARG00000087333,8
ENSDARG00000009315,11
ENSDARG00000030368,18
ENSDARG00000117231,1
ENSDARG00000117450,4
ENSDARG00000117485,11
ENSDARG00000117707,6
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,1
ENSDARG00000075521,5
ENSDARG00000095566,0
ENSDARG00000007941,12
ENSDARG00000095651,3
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,25
ENSDARG00000060236,0
ENSDARG00000036774,8
ENSDARG00000109727,0
ENSDARG00000052866,10
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,0
ENSDARG00000008706,102
ENSDARG00000078108,0
ENSDARG00000075639,5
ENSDARG00000078016,2
ENSDARG00000092551,2
ENSDARG00000075194,5
ENSDARG00000098598,0
ENSDARG00000060252,10
ENSDARG00000078908,1
ENSDARG00000036965,6
ENSDARG00000036967,13
ENSDARG00000060264,1
ENSDARG00000024101,2
ENSDARG00000107253,0
ENSDARG00000024785,8
ENSDARG00000084202,0
ENSDARG00000087061,1
ENSDARG00000052713,4
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,213
ENSDARG00000052703,14
ENSDARG00000052700,8
ENSDARG00000052696,11
ENSDARG00000075112,0
ENSDARG00000029898,2
ENSDARG00000092730,13
ENSDARG00000078622,18
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,4
ENSDARG00000117756,0
ENSDARG00000074476,2
ENSDARG00000087178,1
ENSDARG00000095949,3
ENSDARG00000076277,0
ENSDARG00000075916,0
ENSDARG00000078558,0
ENSDARG00000052019,1
ENSDARG00000101106,3
ENSDARG00000103871,2
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,3
ENSDARG00000059682,0
ENSDARG00000078233,51
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,20
ENSDARG00000069114,2
ENSDARG00000014803,2
ENSDARG00000016793,60
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,16
ENSDARG00000095781,0
ENSDARG00000007786,14
ENSDARG00000009472,6
ENSDARG00000111774,0
ENSDARG00000037748,5
ENSDARG00000002840,3
ENSDARG00000079632,19
ENSDARG00000016994,3
ENSDARG00000029718,2
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,27
ENSDARG00000051981,0
ENSDARG00000059653,5
ENSDARG00000016835,4
ENSDARG00000094133,28
ENSDARG00000093997,0
ENSDARG00000093289,1
ENSDARG00000078659,25
ENSDARG00000093954,0
ENSDARG00000031836,5
ENSDARG00000117392,0
ENSDARG00000098263,0
ENSDARG00000105005,0
ENSDARG00000030972,6
ENSDARG00000051970,2
ENSDARG00000019778,668
ENSDARG00000051965,2
ENSDARG00000087426,8
ENSDARG00000069559,18
ENSDARG00000093347,3
ENSDARG00000069566,7
ENSDARG00000095108,0
ENSDARG00000006588,133
ENSDARG00000006225,24
ENSDARG00000052766,2
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,1
ENSDARG00000025518,0
ENSDARG00000105481,0
ENSDARG00000092240,8
ENSDARG00000030376,1
ENSDARG00000069619,31
ENSDARG00000030656,6
ENSDARG00000114294,0
ENSDARG00000032340,6
ENSDARG00000026068,21
ENSDARG00000002285,12
ENSDARG00000069595,1
ENSDARG00000060187,0
ENSDARG00000060184,2
ENSDARG00000113491,0
ENSDARG00000008279,1
ENSDARG00000010773,3
ENSDARG00000025233,2
ENSDARG00000016548,56
ENSDARG00000073848,8
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,2
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,17
ENSDARG00000095860,0
ENSDARG00000029133,10
ENSDARG00000075859,1
ENSDARG00000070858,1
ENSDARG00000036658,21
ENSDARG00000036650,2
ENSDARG00000036645,1
ENSDARG00000036637,5
ENSDARG00000036636,1
ENSDARG00000052641,23
ENSDARG00000052624,7
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,3
ENSDARG00000036549,36
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,3
ENSDARG00000089853,1
ENSDARG00000000086,8
ENSDARG00000026902,5
ENSDARG00000036592,2
ENSDARG00000001470,14
ENSDARG00000086877,12
ENSDARG00000069471,5
ENSDARG00000036588,37
ENSDARG00000036587,5
ENSDARG00000043271,0
ENSDARG00000036687,8
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,12
ENSDARG00000076773,1
ENSDARG00000007734,3
ENSDARG00000060148,5
ENSDARG00000069438,4
ENSDARG00000083014,0
ENSDARG00000069435,1
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,0
ENSDARG00000112034,0
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,2
ENSDARG00000036008,4
ENSDARG00000008886,7
ENSDARG00000094465,0
ENSDARG00000052468,1
ENSDARG00000018325,7
ENSDARG00000096003,156
ENSDARG00000052480,29
ENSDARG00000022891,5
ENSDARG00000005314,0
ENSDARG00000036479,1
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,77
ENSDARG00000082615,0
ENSDARG00000012574,8
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,8
ENSDARG00000030765,45
ENSDARG00000026548,0
ENSDARG00000052520,0
ENSDARG00000036494,1
ENSDARG00000018721,2
ENSDARG00000114696,0
ENSDARG00000013667,4
ENSDARG00000060036,29
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,4
ENSDARG00000016818,0
ENSDARG00000010655,12
ENSDARG00000075785,0
ENSDARG00000075887,1
ENSDARG00000075564,9
ENSDARG00000117385,2
ENSDARG00000116732,0
ENSDARG00000100792,12
ENSDARG00000075043,2
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,201
ENSDARG00000005578,6
ENSDARG00000024933,8
ENSDARG00000004427,42
ENSDARG00000015540,4
ENSDARG00000043587,29
